G1,G2,failures,Medu,age,goout,studytime,absences,G3
5,6,0,4,18,4,2,6,6
5,5,0,1,17,3,2,4,6
7,8,3,1,15,2,2,10,10
15,14,0,4,15,2,3,2,15
6,10,0,3,16,2,2,4,10
15,15,0,4,16,2,2,10,15
12,12,0,2,16,4,2,0,11
6,5,0,4,17,4,2,6,6
16,18,0,3,15,2,2,0,19
14,15,0,3,15,1,2,0,15
10,8,0,4,15,3,2,0,9
10,12,0,2,15,2,3,4,12
14,14,0,4,15,3,1,2,14
10,10,0,4,15,3,2,2,11
14,16,0,2,15,2,3,0,16
14,14,0,4,16,4,1,4,14
13,14,0,4,16,3,3,6,14
8,10,0,3,16,2,2,4,10
6,5,3,3,17,5,1,16,5
8,10,0,4,16,3,1,4,10
13,14,0,4,15,1,2,0,15
12,15,0,4,15,2,1,0,15
15,15,0,4,16,1,2,2,16
13,13,0,2,16,4,2,0,12
10,9,0,2,15,2,3,2,8
6,9,2,2,16,2,1,14,8
12,12,0,2,15,2,1,2,11
15,16,0,4,15,4,1,4,15
11,11,0,3,16,3,2,4,11
10,12,0,4,16,5,2,16,11
9,11,0,4,15,2,2,0,12
17,16,0,4,15,1,2,0,17
17,16,0,4,15,2,2,0,16
8,10,0,3,15,2,2,0,12
12,14,0,3,16,3,1,0,15
8,7,0,2,15,1,1,0,6
15,16,0,4,15,3,3,2,18
15,16,0,4,16,3,3,7,15
12,12,0,3,15,2,3,2,11
14,13,0,2,15,1,1,8,13
7,10,1,2,16,3,2,25,11
12,12,0,4,15,3,1,8,12
19,18,0,4,15,3,2,2,18
8,8,0,2,15,1,1,0,11
10,10,1,2,16,3,2,14,9
8,8,0,4,15,2,2,8,6
11,12,0,3,16,5,2,12,11
19,19,0,4,16,2,4,4,20
15,15,0,4,15,3,2,2,14
7,7,1,4,15,4,2,2,7
12,13,0,2,16,3,2,2,13
11,13,0,4,15,3,2,2,13
11,11,1,4,15,5,1,6,10
8,10,0,4,15,4,1,0,11
10,13,0,3,15,4,1,6,13
8,9,0,2,16,4,2,8,10
14,15,0,4,15,2,2,0,15
14,15,0,4,15,2,2,4,15
9,10,0,1,15,2,2,2,9
15,16,0,4,16,3,2,2,16
10,11,0,4,16,4,2,6,11
10,8,0,1,16,5,1,6,11
8,10,0,1,16,3,2,4,9
10,9,0,4,16,4,3,2,9
10,10,0,4,15,4,2,0,10
16,15,0,4,16,3,2,2,15
13,13,0,4,15,3,4,4,12
7,7,0,3,16,3,4,4,6
8,9,0,2,15,3,2,2,8
16,16,0,3,15,2,4,12,16
13,15,0,3,16,2,4,0,15
10,10,0,4,15,3,4,0,10
8,6,2,1,15,4,2,2,5
12,12,0,3,16,2,1,2,14
11,12,0,3,16,3,2,54,11
9,9,0,4,15,3,2,6,10
11,11,0,4,15,3,4,8,10
11,11,0,2,16,3,4,0,11
8,8,3,2,17,1,1,2,10
5,5,0,3,16,3,2,12,5
10,12,0,2,15,2,1,2,12
11,10,0,2,15,2,3,4,11
7,6,0,3,15,4,2,10,6
15,15,0,2,15,3,2,4,15
9,10,0,1,15,2,2,2,10
7,9,2,4,15,4,2,6,8
8,7,0,2,16,4,2,4,6
13,14,0,4,15,3,3,4,14
11,10,1,2,16,2,2,12,10
8,6,0,4,16,3,2,18,7
7,7,0,3,16,3,3,0,8
